,reproductive.mode,Binomial,Genus,Family,female.SVL,hatchling.neonate.SVL,intercept,slope,female_mass,hatchling_mass,largest.clutch,smallest.clutch,largest.mean.clutch.size,smallest.mean.clutch.size,Longitude.centroid..from.Roll.et.al..2017.,Latitude.centroid..from.Roll.et.al..2017.,Activity.time,minimum.mean.Tb,maximum.mean.Tb
Teius_oculatus,Oviparous,Teius_oculatus,Teius,Teiidae,98.4,37.4,-4.747,3.11,301.277,111.567,8,2,5.2,4.5,-58.2,-31.7,Diurnal,38.6,38.6
Teratoscincus_scincus,Oviparous,Teratoscincus_scincus,Teratoscincus,Sphaerodactylidae,77.2,39.5,-4.558,2.97,224.726,112.757,2,1,2,2,63.76,41.85,Nocturnal,19,19
Thecadactylus_rapicauda,Oviparous,Thecadactylus_rapicauda,Thecadactylus,Phyllodactylidae,110.1,34.4,-4.482,2.945,319.763,96.826,2,1,1,1,-65.41,-0.1,Nocturnal,26.2,27.7
Thecadactylus_solimoensis,Oviparous,Thecadactylus_solimoensis,Thecadactylus,Phyllodactylidae,103.9,41,-4.482,2.945,301.504,116.263,1,1,1,1,-68.86,-5.65,Nocturnal,26.4,26.4
Tiliqua_multifasciata,Viviparous,Tiliqua_multifasciata,Tiliqua,Scincidae,233.6,70,-5.125,3.229,749.169,220.905,10,2,4.4,4,130.17,-22.07,Cathemeral,32.4,34.3
Tiliqua_nigrolutea,Viviparous,Tiliqua_nigrolutea,Tiliqua,Scincidae,287.5,105,-5.125,3.229,923.213,333.920,15,1,11.5,2.5,146.14,-37.14,Diurnal,34.8,34.8
Tiliqua_occipitalis,Viviparous,Tiliqua_occipitalis,Tiliqua,Scincidae,272.7,102.5,-5.125,3.229,875.423,325.848,10,2,5,5,130.62,-30.27,Diurnal,32.7,33.7
Tiliqua_rugosa,Viviparous,Tiliqua_rugosa,Tiliqua,Scincidae,260,139,-5.125,3.229,834.415,443.706,4,1,2.8,1.3,138.93,-30.63,Diurnal,31.9,35.3
Tiliqua_scincoides,Viviparous,Tiliqua_scincoides,Tiliqua,Scincidae,312.5,89.2,-5.125,3.229,1003.938,282.902,25,1,12,10,141.44,-24.12,Diurnal,31.9,34.4
Timon_lepidus,Oviparous,Timon_lepidus,Timon,Lacertidae,150,39.7,-4.543,2.951,438.107,112.612,25,2,16.9,10.5,-2.76,41.25,Diurnal,30.4,30.4
