,reproductive.mode,Binomial,Genus,Family,female.SVL,hatchling.neonate.SVL,intercept,slope,female_mass,hatchling_mass,largest.clutch,smallest.clutch,largest.mean.clutch.size,smallest.mean.clutch.size,Longitude.centroid..from.Roll.et.al..2017.,Latitude.centroid..from.Roll.et.al..2017.,Activity.time,minimum.mean.Tb,maximum.mean.Tb
Liolaemus_bibronii,Oviparous,Liolaemus_bibronii,Liolaemus,Liolaemidae,53.3,27,-4.678,3.097,160.392,78.941,5,1,3,2.5,-68.8,-42.54,Diurnal,27.2,34.5
Liolaemus_boulengeri,Oviparous,Liolaemus_boulengeri,Liolaemus,Liolaemidae,60.3,24.9,-4.678,3.097,182.071,72.437,6,2,4.6,3.6,-68.47,-42.88,Diurnal,27.8,35.7
Liolaemus_chacoensis,Oviparous,Liolaemus_chacoensis,Liolaemus,Liolaemidae,44.2,17,-4.678,3.097,132.209,47.971,7,6,6.1,6.1,-64.12,-27.66,Diurnal,33.1,36.5
Liolaemus_cyanogaster,Viviparous,Liolaemus_cyanogaster,Liolaemus,Liolaemidae,59.8,24.5,-4.678,3.097,180.523,71.199,10,7,7.5,7.5,-72,-39.78,Diurnal,32.9,32.9
Liolaemus_elongatus,Viviparous,Liolaemus_elongatus,Liolaemus,Liolaemidae,75.8,28.6,-4.678,3.097,230.075,83.896,7,2,5,2.8,-69.75,-39.47,Diurnal,29.8,35
Liolaemus_gracilis,Oviparous,Liolaemus_gracilis,Liolaemus,Liolaemidae,50.3,23.6,-4.678,3.097,151.101,68.411,7,1,4.8,3.7,-67.04,-38.16,Diurnal,32.9,40.8
Liolaemus_huacahuasicus,unclear,Liolaemus_huacahuasicus,Liolaemus,Liolaemidae,61.6,26,-4.678,3.097,186.097,75.844,8,2,5.4,4.2,-65.78,-26.64,Diurnal,31.5,32
Liolaemus_koslowskyi,Oviparous,Liolaemus_koslowskyi,Liolaemus,Liolaemidae,59.8,22,-4.678,3.097,180.523,63.456,10,1,5.6,4.2,-67.03,-28.19,Diurnal,34.1,36.2
Liolaemus_kriegi,Viviparous,Liolaemus_kriegi,Liolaemus,Liolaemidae,99.8,36,-4.678,3.097,304.403,106.814,4,4,4,4,-70.24,-40.41,Diurnal,30.8,33.8
Liolaemus_lineomaculatus,Viviparous,Liolaemus_lineomaculatus,Liolaemus,Liolaemidae,55.5,25,-4.678,3.097,167.206,72.747,6,2,4,3.1,-70.06,-46.4,Diurnal,25.8,28
Liolaemus_lutzae,Oviparous,Liolaemus_lutzae,Liolaemus,Liolaemidae,60.8,28.1,-4.678,3.097,183.620,82.348,4,1,3,2.3,-42.86,-22.92,Diurnal,31.2,34.1
Liolaemus_magellanicus,Viviparous,Liolaemus_magellanicus,Liolaemus,Liolaemidae,59.1,24,-4.678,3.097,178.355,69.650,9,2,6,2,-71.28,-50.65,Diurnal,23.4,27
Liolaemus_multimaculatus,Oviparous,Liolaemus_multimaculatus,Liolaemus,Liolaemidae,59.8,27.9,-4.678,3.097,180.523,81.728,7,3,4.2,4.2,-60.81,-39.36,Diurnal,32.1,34.2
Liolaemus_olongasta,Oviparous,Liolaemus_olongasta,Liolaemus,Liolaemidae,57.7,26,-4.678,3.097,174.019,75.844,8,1,3.8,3.2,-68.78,-30.81,Diurnal,32.1,36.6
Liolaemus_pictus,Viviparous,Liolaemus_pictus,Liolaemus,Liolaemidae,60,27.5,-4.678,3.097,181.142,80.490,8,1,4.5,3.4,-72.31,-39.78,Diurnal,28.8,35.4
Liolaemus_rothi,Oviparous,Liolaemus_rothi,Liolaemus,Liolaemidae,86,27,-4.678,3.097,261.664,78.941,9,1,7,6,-68.87,-40.97,Diurnal,36,36.6
Liolaemus_ruibali,Viviparous,Liolaemus_ruibali,Liolaemus,Liolaemidae,56.8,19,-4.678,3.097,171.232,54.165,4,3,3.9,3.9,-69.48,-31.71,Diurnal,24.4,32.9
Liolaemus_signifer,Viviparous,Liolaemus_signifer,Liolaemus,Liolaemidae,89.3,28,-4.678,3.097,271.884,82.038,7,5,6.4,5.8,-67.66,-19.69,Diurnal,31,34
Liolaemus_wiegmannii,Oviparous,Liolaemus_wiegmannii,Liolaemus,Liolaemidae,51.7,20,-4.678,3.097,155.437,57.262,8,2,5.4,3.5,-62.49,-32.91,Diurnal,33.7,34.4
Liopholis_inornata,Viviparous,Liopholis_inornata,Liopholis,Scincidae,73.4,33.5,-5.125,3.229,231.884,103.047,4,1,3,2,131.51,-27.68,Cathemeral,30.1,30.1
Liopholis_kintorei,Viviparous,Liopholis_kintorei,Liopholis,Scincidae,187,75.5,-5.125,3.229,598.698,238.665,7,1,6,6,126.94,-23.58,Nocturnal,25.2,25.2
Liopholis_modesta,Viviparous,Liopholis_modesta,Liopholis,Scincidae,101.3,42.2,-5.125,3.229,321.973,131.139,5,1,2.7,2.7,150.47,-29.13,Diurnal,27.7,27.7
Liopholis_striata,Viviparous,Liopholis_striata,Liopholis,Scincidae,91.5,41,-5.125,3.229,290.329,127.264,4,1,2.7,2.6,126.32,-24.33,Cathemeral,30,30.9
Liopholis_whitii,Viviparous,Liopholis_whitii,Liopholis,Scincidae,87.9,38.5,-5.125,3.229,278.704,119.192,5,1,3.5,2.3,146.67,-33.63,Diurnal,31.9,34.1
Lobulia_stellaris,Viviparous,Lobulia_stellaris,Lobulia,Scincidae,58.7,27,-5.125,3.229,184.417,82.058,3,2,2.1,2.1,141.05,-4.93,Diurnal,24.7,24.7
Lophognathus_gilberti,Oviparous,Lophognathus_gilberti,Lophognathus,Agamidae,84,28,-4.686,3.105,256.134,82.254,20,2,5.4,5.4,132.2,-13.65,Diurnal,33.7,33.7
Lophosaurus_spinipes,Oviparous,Lophosaurus_spinipes,Lophosaurus,Agamidae,119.5,31,-4.686,3.105,366.362,91.569,9,2,5,5,152.49,-29.66,Diurnal,19,19
Loxopholis_percarinatum,Oviparous,Loxopholis_percarinatum,Loxopholis,Gymnophthalmidae,32.3,15.9,-5.178,3.302,101.477,47.324,2,1,2,1.8,-59.04,-2.24,Diurnal,29.7,29.7
Lucasium_damaeum,Oviparous,Lucasium_damaeum,Lucasium,Diplodactylidae,53.3,20,-4.804,3.057,158.134,56.336,2,1,2,2,137.87,-29.04,Nocturnal,21,27.3
Lucasium_stenodactylum,Oviparous,Lucasium_stenodactylum,Lucasium,Diplodactylidae,53.3,24.5,-4.804,3.057,158.134,70.093,2,2,2,2,130.97,-22.7,Nocturnal,26.6,27.7
Lygisaurus_foliorum,Oviparous,Lygisaurus_foliorum,Lygisaurus,Scincidae,34.5,15,-5.125,3.229,106.276,43.310,3,1,2,1.9,150.69,-26.32,Diurnal,31.1,31.1
Lygodactylus_capensis,Oviparous,Lygodactylus_capensis,Lygodactylus,Gekkonidae,30.3,14,-4.242,2.761,79.416,34.412,2,1,2,1.9,28.23,-15.55,Diurnal,36,36
Lygodactylus_keniensis,Oviparous,Lygodactylus_keniensis,Lygodactylus,Gekkonidae,35,13.5,-4.242,2.761,92.393,33.032,2,2,2,2,37.91,3.46,Diurnal,34.2,34.2
Lygodactylus_klugei,Oviparous,Lygodactylus_klugei,Lygodactylus,Gekkonidae,29.1,13.5,-4.242,2.761,76.103,33.032,2,1,2,1.8,-40.06,-8.12,Diurnal,34,34
Lyriocephalus_scutatus,Oviparous,Lyriocephalus_scutatus,Lyriocephalus,Agamidae,141.2,47,-4.686,3.105,433.740,141.249,16,1,5,2.3,80.46,6.8,Diurnal,27.5,27.5
Mabuya_mabouya,Viviparous,Mabuya_mabouya,Mabuya,Scincidae,100.4,29,-5.125,3.229,319.067,88.516,2,2,2,2,-61.13,14.57,Diurnal,32.8,35.5
Mediodactylus_kotschyi,Oviparous,Mediodactylus_kotschyi,Mediodactylus,Gekkonidae,40.7,18.8,-4.242,2.761,108.131,47.665,3,1,2.3,1,29.67,38.85,Cathemeral,21.2,30.9
Menetia_greyii,Oviparous,Menetia_greyii,Menetia,Scincidae,32,13.5,-5.125,3.229,98.203,38.467,4,1,2.1,1,133.16,-25.31,Diurnal,32.8,33
Meroles_anchietae,Oviparous,Meroles_anchietae,Meroles,Lacertidae,44,26.5,-4.543,2.951,125.301,73.659,2,1,1.3,1.3,14.35,-21.35,Diurnal,30,32.1
Meroles_cuneirostris,Oviparous,Meroles_cuneirostris,Meroles,Lacertidae,49,26.8,-4.543,2.951,140.056,74.544,5,1,2.9,2.9,15.83,-25.58,Diurnal,33.6,33.6
Meroles_squamulosus,Oviparous,Meroles_squamulosus,Meroles,Lacertidae,56.3,29,-4.543,2.951,161.598,81.036,12,3,4,4,28.11,-17.83,Diurnal,36.1,36.8
Meroles_suborbitalis,Oviparous,Meroles_suborbitalis,Meroles,Lacertidae,59.5,26.5,-4.543,2.951,171.042,73.659,8,1,5.3,3.9,19.16,-27.59,Diurnal,34.8,38.8
Mesalina_brevirostris,Oviparous,Mesalina_brevirostris,Mesalina,Lacertidae,45,23.5,-4.543,2.951,128.252,64.806,6,1,3.9,3.9,48.45,28.89,Diurnal,35.5,35.8
Mesalina_guttulata,Oviparous,Mesalina_guttulata,Mesalina,Lacertidae,45.5,21,-4.543,2.951,129.728,57.428,10,1,5,4.2,15.46,23.82,Diurnal,27.7,34.9
Mesalina_olivieri,Oviparous,Mesalina_olivieri,Mesalina,Lacertidae,40.8,21,-4.543,2.951,115.858,57.428,8,1,4,3.4,9.75,29.29,Diurnal,29,33.4
Mesaspis_monticola,Viviparous,Mesaspis_monticola,Mesaspis,Anguidae,74.5,25,-5.224,2.892,210.230,67.076,10,2,5.4,3.4,-83.46,9.39,Diurnal,23.7,23.7
Micrablepharus_atticolus,Oviparous,Micrablepharus_atticolus,Micrablepharus,Gymnophthalmidae,37.1,16,-5.178,3.302,117.326,47.654,2,1,2,1.8,-52.64,-15.62,Diurnal,34.6,34.6
Micrablepharus_maximiliani,Oviparous,Micrablepharus_maximiliani,Micrablepharus,Gymnophthalmidae,40.8,22,-5.178,3.302,129.544,67.466,3,1,3,1.5,-48.09,-12.02,Diurnal,29.1,29.1
Microlophus_quadrivittatus,Oviparous,Microlophus_quadrivittatus,Microlophus,Tropiduridae,83.9,41,-3.884,2.719,224.240,107.595,5,2,3.2,3.2,-69.92,-21.54,Diurnal,34,36
Mochlus_sundevalli,Oviparous,Mochlus_sundevalli,Mochlus,Scincidae,93.2,24,-5.125,3.229,295.818,72.371,7,2,4.3,3.3,29.66,-11.39,Diurnal,32.7,32.7
Moloch_horridus,Oviparous,Moloch_horridus,Moloch,Agamidae,106.2,34.5,-4.686,3.105,325.065,102.437,10,3,8,6.5,126.82,-25.4,Diurnal,31.7,34.1
Morethia_boulengeri,Oviparous,Morethia_boulengeri,Morethia,Scincidae,47.3,19.5,-5.125,3.229,147.607,57.841,6,1,3.7,2.3,136.95,-25.2,Diurnal,28.9,34.1
Morethia_obscura,Oviparous,Morethia_obscura,Morethia,Scincidae,49,18.5,-5.125,3.229,153.096,54.612,5,1,3.1,3,130.68,-32.13,Diurnal,34.7,34.7
Naultinus_gemmeus,Viviparous,Naultinus_gemmeus,Naultinus,Diplodactylidae,69.5,33,-4.804,3.057,207.658,96.077,2,1,2,1.9,170.03,-44.82,Diurnal,20.5,20.5
Nephrurus_laevissimus,Oviparous,Nephrurus_laevissimus,Nephrurus,Carphodactylidae,69.7,33.6,-3.445,2.353,160.559,75.616,2,1,2,2,126.54,-26.89,Nocturnal,22.5,25
Nephrurus_levis,Oviparous,Nephrurus_levis,Nephrurus,Carphodactylidae,77,35.5,-3.445,2.353,177.736,80.087,2,1,2,2,130.73,-25.32,Nocturnal,15.1,23.2
Nephrurus_vertebralis,Oviparous,Nephrurus_vertebralis,Nephrurus,Carphodactylidae,79.6,37.1,-3.445,2.353,183.854,83.851,2,2,2,2,121.6,-26.39,Nocturnal,24.1,24.1
Notomabuya_frenata,Viviparous,Notomabuya_frenata,Notomabuya,Scincidae,73,29,-5.125,3.229,230.592,88.516,9,1,5.1,3.5,-55.26,-18.6,Diurnal,31.6,31.8
Nucras_intertexta,Oviparous,Nucras_intertexta,Nucras,Lacertidae,72.4,28,-4.543,2.951,209.109,78.085,8,2,6,4,24.31,-23.37,Diurnal,38.9,38.9
Nucras_tessellata,Oviparous,Nucras_tessellata,Nucras,Lacertidae,72.7,32,-4.543,2.951,209.995,89.889,7,3,4.7,3.3,17.95,-25.68,Diurnal,39.2,40
Oedura_marmorata,Oviparous,Oedura_marmorata,Oedura,Diplodactylidae,96.3,36.5,-4.804,3.057,289.585,106.777,2,2,2,2,133.26,-22.67,Nocturnal,18,32.8
Oedura_tryoni,Oviparous,Oedura_tryoni,Oedura,Diplodactylidae,80,36,-4.804,3.057,239.756,105.248,2,2,2,2,150.76,-26.37,Nocturnal,21.8,21.8
Oligosoma_grande,Viviparous,Oligosoma_grande,Oligosoma,Scincidae,93.8,38,-5.125,3.229,297.755,117.577,4,2,2.4,1.9,169.77,-45.12,Diurnal,23.6,23.6
Oligosoma_maccanni,Viviparous,Oligosoma_maccanni,Oligosoma,Scincidae,58.3,26.1,-5.125,3.229,183.126,79.152,9,1,3.7,2.8,170.07,-44.79,Diurnal,21.5,25.2
Oligosoma_otagense,Viviparous,Oligosoma_otagense,Oligosoma,Scincidae,114.2,43,-5.125,3.229,363.627,133.722,4,1,2.6,1.7,169.72,-45.21,Diurnal,23.5,28.4
Oligosoma_suteri,Oviparous,Oligosoma_suteri,Oligosoma,Scincidae,84.8,36,-5.125,3.229,268.694,111.119,6,2,3.7,3.6,174.61,-35.86,Cathemeral,15,15
Oligosoma_zelandicum,Viviparous,Oligosoma_zelandicum,Oligosoma,Scincidae,55.5,26,-5.125,3.229,174.085,78.829,8,2,5.3,5,174.29,-40.36,Diurnal,25.2,25.2
Ophisaurus_attenuatus,Oviparous,Ophisaurus_attenuatus,Ophisaurus,Anguidae,234.9,58,-5.224,2.892,674.107,162.512,20,4,10.8,8.7,-89.83,34.36,Diurnal,30.6,32
Ophisops_elegans,Oviparous,Ophisops_elegans,Ophisops,Lacertidae,46.6,21.9,-4.543,2.951,132.974,60.084,8,1,4,3.1,41.5,35.95,Diurnal,29.5,33.1
Oplurus_cuvieri,Oviparous,Oplurus_cuvieri,Oplurus,Opluridae,129.1,45,-6.439,3.94,502.215,170.861,5,2,3.5,3.5,45.58,-18.42,Diurnal,36.2,36.4
Pachydactylus_capensis,Oviparous,Pachydactylus_capensis,Pachydactylus,Gekkonidae,62.3,22,-4.242,2.761,167.768,56.500,2,1,2,1.9,22.67,-25.14,Nocturnal,25.3,25.6
Pachydactylus_rangei,Oviparous,Pachydactylus_rangei,Pachydactylus,Gekkonidae,70.5,26,-4.242,2.761,190.409,67.544,2,2,2,2,14.7,-22.94,Nocturnal,14.9,15
Panaspis_wahlbergi,Oviparous,Panaspis_wahlbergi,Panaspis,Scincidae,43.2,15.6,-5.125,3.229,134.368,45.247,18,1,4.5,4,33.64,-8.92,Diurnal,33,33
Papuascincus_stanleyanus,Oviparous,Papuascincus_stanleyanus,Papuascincus,Scincidae,54,24,-5.125,3.229,169.241,72.371,2,2,2,2,142.65,-5.75,Diurnal,29,29
Paralaudakia_caucasia,Oviparous,Paralaudakia_caucasia,Paralaudakia,Agamidae,123.8,40.5,-4.686,3.105,379.713,121.067,14,3,11.7,7.2,54.95,36.2,Diurnal,29,29
Paralaudakia_lehmanni,Oviparous,Paralaudakia_lehmanni,Paralaudakia,Agamidae,120,36.7,-4.686,3.105,367.914,109.268,25,2,10,10,69.17,38.42,Diurnal,33.4,37
Pedioplanis_lineoocellata,Oviparous,Pedioplanis_lineoocellata,Pedioplanis,Lacertidae,60,19,-4.543,2.951,172.517,51.526,11,4,8.3,5.5,22.82,-26.88,Diurnal,36.7,38.4
Pedioplanis_namaquensis,Oviparous,Pedioplanis_namaquensis,Pedioplanis,Lacertidae,52.9,22,-4.543,2.951,151.565,60.379,6,3,4,3.8,20.06,-25.23,Diurnal,37.4,38.5
Petrosaurus_mearnsi,Oviparous,Petrosaurus_mearnsi,Petrosaurus,Phrynosomatidae,76,32.6,-3.855,2.677,199.597,83.415,6,2,4,4,-115.41,31.27,Diurnal,36,36
Petrosaurus_thalassinus,Oviparous,Petrosaurus_thalassinus,Petrosaurus,Phrynosomatidae,94.6,31.5,-3.855,2.677,249.389,80.471,20,4,8.6,8.6,-111.77,26.15,Diurnal,34.8,37.1
Phelsuma_madagascariensis,Oviparous,Phelsuma_madagascariensis,Phelsuma,Gekkonidae,86.2,30,-4.242,2.761,233.756,78.588,2,1,2,1.8,48.75,-18.67,Diurnal,29.9,33.2
Phoenicolacerta_laevis,Oviparous,Phoenicolacerta_laevis,Phoenicolacerta,Lacertidae,62.6,24.7,-4.543,2.951,180.190,68.347,8,2,6.1,4.5,35.74,35.36,Diurnal,32.5,32.5
Pholidoscelis_exsul,Oviparous,Pholidoscelis_exsul,Pholidoscelis,Teiidae,93.8,35.3,-4.747,3.11,286.971,105.036,7,1,3.4,2,-66.4,18.23,Diurnal,36.2,39.5
Pholidoscelis_fuscatus,Oviparous,Pholidoscelis_fuscatus,Pholidoscelis,Teiidae,117.5,51,-4.747,3.11,360.678,153.863,7,2,4,4,-61.36,15.43,Diurnal,35.8,36.1
Pholidoscelis_plei,Oviparous,Pholidoscelis_plei,Pholidoscelis,Teiidae,86.3,38,-4.747,3.11,263.646,113.433,7,1,3.1,2.1,-63.04,18.11,Diurnal,36.6,36.6
Phrynocephalus_helioscopus,Oviparous,Phrynocephalus_helioscopus,Phrynocephalus,Agamidae,48.3,24.4,-4.686,3.105,145.286,71.076,10,2,4.5,4.5,69.09,47.34,Diurnal,33.1,41
Phrynocephalus_interscapularis,Oviparous,Phrynocephalus_interscapularis,Phrynocephalus,Agamidae,31.5,21.5,-4.686,3.105,93.122,62.072,1,1,1,1,61.37,41.15,Diurnal,32.4,41
Phrynocephalus_przewalskii,Oviparous,Phrynocephalus_przewalskii,Phrynocephalus,Agamidae,58.1,26.7,-4.686,3.105,175.715,78.218,6,1,3.3,2.4,106.91,40.59,Diurnal,38.1,38.1
Phrynocephalus_theobaldi,Viviparous,Phrynocephalus_theobaldi,Phrynocephalus,Agamidae,51.8,25.3,-4.686,3.105,156.153,73.871,4,1,2.4,2,86.74,32.75,Diurnal,32,32
Phrynocephalus_vlangalii,Viviparous,Phrynocephalus_vlangalii,Phrynocephalus,Agamidae,59.5,24.4,-4.686,3.105,180.062,71.076,8,1,4,2.7,90.84,38.88,Diurnal,31.3,32
Phrynosoma_asio,Oviparous,Phrynosoma_asio,Phrynosoma,Phrynosomatidae,101.5,34.5,-3.855,2.677,267.861,88.502,25,10,16.9,16.9,-99.65,17.56,Diurnal,32.4,32.4
Phrynosoma_blainvillii,Oviparous,Phrynosoma_blainvillii,Phrynosoma,Phrynosomatidae,78.2,27,-3.855,2.677,205.486,68.424,21,6,15.5,15.5,-118.86,35.12,Diurnal,34.9,34.9
Phrynosoma_cornutum,Oviparous,Phrynosoma_cornutum,Phrynosoma,Phrynosomatidae,79.5,21,-3.855,2.677,208.967,52.362,50,10,37.3,18.5,-100.85,31.54,Diurnal,33.4,38.5
Phrynosoma_coronatum,Oviparous,Phrynosoma_coronatum,Phrynosoma,Phrynosomatidae,81.4,28,-3.855,2.677,214.053,71.101,49,6,12.6,11,-117.02,32.6,Diurnal,34.2,36.7
Phrynosoma_douglasii,Viviparous,Phrynosoma_douglasii,Phrynosoma,Phrynosomatidae,71.5,18.8,-3.855,2.677,187.551,46.473,36,3,24,6,-117.32,42.45,Diurnal,32.1,35.5
Phrynosoma_hernandesi,Viviparous,Phrynosoma_hernandesi,Phrynosoma,Phrynosomatidae,76.9,26,-3.855,2.677,202.006,65.747,48,5,20,16,-111.33,36.91,Diurnal,25,41
Phrynosoma_mcallii,Oviparous,Phrynosoma_mcallii,Phrynosoma,Phrynosomatidae,69,34,-3.855,2.677,180.858,87.163,10,2,5.4,4.5,-114.67,32.25,Diurnal,33.2,37.8
Phrynosoma_modestum,Oviparous,Phrynosoma_modestum,Phrynosoma,Phrynosomatidae,58.2,19,-3.855,2.677,151.946,47.008,19,6,13,9,-103.95,29.84,Cathemeral,20.9,37
Phrynosoma_orbiculare,Viviparous,Phrynosoma_orbiculare,Phrynosoma,Phrynosomatidae,71.6,24.2,-3.855,2.677,187.818,60.928,30,9,17,9.4,-103.03,23.63,Diurnal,32.5,37.9
Phrynosoma_platyrhinos,Oviparous,Phrynosoma_platyrhinos,Phrynosoma,Phrynosomatidae,79.9,26,-3.855,2.677,210.037,65.747,16,2,9,2,-115.34,37.79,Diurnal,34.2,36.8
Phrynosoma_solare,Oviparous,Phrynosoma_solare,Phrynosoma,Phrynosomatidae,96.2,30.5,-3.855,2.677,253.672,77.794,33,7,20.5,16.7,-109.82,29.18,Diurnal,34.7,34.7
Phyllodactylus_kofordi,Oviparous,Phyllodactylus_kofordi,Phyllodactylus,Phyllodactylidae,38.6,18,-4.482,2.945,109.195,48.528,1,1,1,1,-80.39,-5.06,Nocturnal,21.5,21.9
Phyllodactylus_lanei,Oviparous,Phyllodactylus_lanei,Phyllodactylus,Phyllodactylidae,63.8,26.2,-4.482,2.945,183.409,72.677,2,2,2,2,-103.04,19.57,Nocturnal,27.5,27.5
Phyllodactylus_microphyllus,Oviparous,Phyllodactylus_microphyllus,Phyllodactylus,Phyllodactylidae,46.5,23,-4.482,2.945,132.461,63.253,1,1,1,1,-79.13,-7.97,Nocturnal,20.3,26.1
Phyllodactylus_reissii,Oviparous,Phyllodactylus_reissii,Phyllodactylus,Phyllodactylidae,64.1,23,-4.482,2.945,184.293,63.253,2,1,2,1.7,-79.16,-5.5,Nocturnal,20.3,24.4
Phyllodactylus_tuberculosus,Oviparous,Phyllodactylus_tuberculosus,Phyllodactylus,Phyllodactylidae,76.7,23,-4.482,2.945,221.400,63.253,2,1,2,1.7,-95.3,16.78,Nocturnal,22.7,22.7
Phyllopezus_periosus,Oviparous,Phyllopezus_periosus,Phyllopezus,Phyllodactylidae,109.4,42,-4.482,2.945,317.701,119.208,2,2,2,2,-37.53,-7.18,Nocturnal,29.4,29.4
Phyllopezus_pollicaris,Oviparous,Phyllopezus_pollicaris,Phyllopezus,Phyllodactylidae,70.8,30.3,-4.482,2.945,204.024,84.752,3,1,2,1.9,-49.07,-14.32,Cathemeral,24.4,30.4
Phymaturus_palluma,Viviparous,Phymaturus_palluma,Phymaturus,Liolaemidae,94.5,44.7,-4.678,3.097,287.989,133.758,5,1,4,1.5,-70.16,-34.57,Diurnal,32.3,34.2
Phymaturus_patagonicus,Viviparous,Phymaturus_patagonicus,Phymaturus,Liolaemidae,93.1,38.5,-4.678,3.097,283.653,114.557,2,2,2,2,-67.64,-43.59,Diurnal,26,35.4
Phymaturus_punae,Viviparous,Phymaturus_punae,Phymaturus,Liolaemidae,93.1,50.3,-4.678,3.097,283.653,151.101,2,1,1.5,1.5,-69.28,-29.41,Diurnal,27.6,29.8
Phymaturus_zapalensis,Viviparous,Phymaturus_zapalensis,Phymaturus,Liolaemidae,87.6,47.5,-4.678,3.097,266.619,142.430,3,1,1,1,-70.57,-39.6,Diurnal,25.6,33.8
Physignathus_cocincinus,Oviparous,Physignathus_cocincinus,Physignathus,Agamidae,156.9,41.5,-4.686,3.105,482.489,124.172,23,4,10.4,10.4,106.63,21.11,Diurnal,25.7,31
Pinoyscincus_jagori,Oviparous,Pinoyscincus_jagori,Pinoyscincus,Scincidae,75,30.9,-5.125,3.229,237.050,94.651,4,1,1.9,1.9,123.1,11.88,Diurnal,23.1,23.1
Platysaurus_intermedius,Oviparous,Platysaurus_intermedius,Platysaurus,Cordylidae,78,30.5,-4.207,2.471,188.531,71.159,2,1,2,2,30.2,-20.93,Diurnal,27.1,30.6
Plestiodon_copei,Viviparous,Plestiodon_copei,Plestiodon,Scincidae,67.5,24.7,-5.125,3.229,212.833,74.631,5,2,3.7,3.5,-99.3,19.26,Diurnal,28.7,28.7
Plestiodon_egregius,Oviparous,Plestiodon_egregius,Plestiodon,Scincidae,45.1,22.3,-5.125,3.229,140.503,66.882,9,1,4.8,4.8,-83.31,30.44,Diurnal,29.5,31.2
Plestiodon_elegans,Oviparous,Plestiodon_elegans,Plestiodon,Scincidae,75.2,26.5,-5.125,3.229,237.696,80.444,11,2,6.4,5.5,110.27,28.32,Diurnal,28.6,33.4
Plestiodon_fasciatus,Oviparous,Plestiodon_fasciatus,Plestiodon,Scincidae,66.3,24.5,-5.125,3.229,208.958,73.986,20,2,9.5,5.9,-86.69,36.62,Diurnal,31.5,35
Plestiodon_gilberti,Oviparous,Plestiodon_gilberti,Plestiodon,Scincidae,79.5,32.5,-5.125,3.229,251.581,99.818,9,3,6.3,6.3,-118.07,35.77,Diurnal,26.7,31.6
Plestiodon_laticeps,Oviparous,Plestiodon_laticeps,Plestiodon,Scincidae,96.5,29.2,-5.125,3.229,306.474,89.162,19,5,13.7,6.5,-87.33,34.72,Diurnal,29.3,33.7
Plestiodon_latiscutatus,Oviparous,Plestiodon_latiscutatus,Plestiodon,Scincidae,75.7,28.7,-5.125,3.229,239.310,87.547,10,6,9.4,6.5,139,34.95,Diurnal,29.8,29.8
Plestiodon_obsoletus,Oviparous,Plestiodon_obsoletus,Plestiodon,Scincidae,112.6,37.5,-5.125,3.229,358.460,115.963,32,5,15.2,10.2,-102.09,32.86,Diurnal,31.8,34.2
Plestiodon_septentrionalis,Oviparous,Plestiodon_septentrionalis,Plestiodon,Scincidae,72.3,24,-5.125,3.229,228.332,72.371,18,4,14.7,6.6,-96.18,39.11,Diurnal,28.5,29.9
Plestiodon_skiltonianus,Oviparous,Plestiodon_skiltonianus,Plestiodon,Scincidae,70.9,26,-5.125,3.229,223.811,78.829,10,2,5.8,4,-117.58,41.94,Diurnal,25.2,30
Plestiodon_tetragrammus,Oviparous,Plestiodon_tetragrammus,Plestiodon,Scincidae,54,23,-5.125,3.229,169.241,69.142,12,3,8.5,8.5,-100.17,28.52,Diurnal,28,28
Plica_plica,Oviparous,Plica_plica,Plica,Tropiduridae,131.3,44.7,-3.884,2.719,353.121,117.655,5,1,4.2,2,-64.19,-3.19,Diurnal,29.1,30.7
Plica_umbra,Oviparous,Plica_umbra,Plica,Tropiduridae,85,37,-3.884,2.719,227.231,96.719,4,1,2.2,1.8,-63.04,-4.08,Diurnal,28.2,29.1
Podarcis_bocagei,Oviparous,Podarcis_bocagei,Podarcis,Lacertidae,52.7,22.9,-4.543,2.951,150.975,63.035,9,1,4.8,2,-6.85,42.58,Diurnal,32.3,32.3
Podarcis_erhardii,Oviparous,Podarcis_erhardii,Podarcis,Lacertidae,61.4,28.9,-4.543,2.951,176.648,80.741,7,1,2.6,2.4,22.35,40.15,Diurnal,32.4,34.5
Podarcis_gaigeae,Oviparous,Podarcis_gaigeae,Podarcis,Lacertidae,61.7,28.4,-4.543,2.951,177.534,79.265,5,1,3,1.9,24.55,38.87,Diurnal,32.3,32.9
Podarcis_hispanicus,Oviparous,Podarcis_hispanicus,Podarcis,Lacertidae,53,24.5,-4.543,2.951,151.860,67.757,5,1,3.6,2.1,-3.59,40.7,Diurnal,28,35.8
Podarcis_lilfordi,Oviparous,Podarcis_lilfordi,Podarcis,Lacertidae,59.4,31.4,-4.543,2.951,170.746,88.118,4,1,2.5,2.5,3.14,39.67,Diurnal,33,36.2
Podarcis_liolepis,Oviparous,Podarcis_liolepis,Podarcis,Lacertidae,58.5,25.5,-4.543,2.951,168.091,70.708,5,1,3.1,2.5,-0.38,41.94,Diurnal,34.2,34.2
Podarcis_melisellensis,Oviparous,Podarcis_melisellensis,Podarcis,Lacertidae,59.4,24.5,-4.543,2.951,170.746,67.757,8,2,4.9,3.6,16.62,43.69,Diurnal,29.1,35.8
